id,postcode,latitude,longitude
1,B34,52.4964133,-1.7817039
2,IP10,52.0189774,1.2699895
3,G2,55.8629070,-4.2561591
4,GL19,51.9461577,-2.2909682
5,L36,53.4144065,-2.8417310
6,NE32,54.9677908,-1.4844933
7,L12,53.4349803,-2.8958012
8,NR28,52.8224263,1.3974920
9,SO21,51.0753776,-1.3162444
10,CV3,52.3909775,-1.4781403
11,TQ10,50.4234657,-3.8260896
12,NE37,54.9127512,-1.5279619
13,NW11,51.5783915,-0.1974603
14,ST14,52.9043124,-1.8699946
15,TN35,50.8828713,0.6140004
16,ME7,51.3797740,0.5557972
17,BB3,53.6978859,-2.4662858
18,SE14,51.4758845,-0.0424768
19,WA12,53.4533844,-2.6332824
20,GL1,51.8593662,-2.2437389
21,EC3R,51.5104555,-0.0835753
22,BS6,51.4707656,-2.6003841
23,NG22,53.1820817,-0.9786955
24,DE22,52.9340758,-1.4996719
25,BD6,53.7645222,-1.7861654
26,HR1,52.0590736,-2.6797236
27,BN10,50.7959843,0.0013219
28,PL17,50.5150098,-4.3103836
29,SA6,51.6761659,-3.9226054
30,CA15,54.7122276,-3.4809087
31,WV13,52.5851575,-2.0581222
32,DN1,53.5216788,-1.1307019
33,PH36,56.7221628,-5.8512969
34,LL12,53.0875778,-2.9891854
35,OX14,51.6675240,-1.2770907
36,CM17,51.7731801,0.1464635
37,TA11,51.0605815,-2.7024096
38,WF6,53.7003289,-1.4156390
39,G23,55.9024808,-4.2851022
40,L13,53.4184709,-2.9204372
41,GL16,51.7955780,-2.6128048
42,OL11,53.6059003,-2.1767392
43,SN26,51.6139830,-1.7881065
44,LL47,52.9020279,-4.0628852
45,ST17,52.7881373,-2.0991013
46,NE99,54.9704330,-1.6139305
47,DY11,52.3845094,-2.2621081
48,ST18,52.8150827,-2.0806107
49,DH99,54.7882304,-1.5493991
50,PE35,52.8271575,0.5090560
51,FK17,56.2399069,-4.2198630
52,CW12,53.1659013,-2.2135769
53,WV2,52.5736442,-2.1183430
54,NE16,54.9312689,-1.6926762
55,DE4,53.1268023,-1.5654429
56,BN25,50.7765238,0.1083361
57,NG33,52.8165291,-0.5808488
58,GU1,51.2430276,-0.5649390
59,ML9,55.7245642,-3.9676426
60,BT80,54.6462975,-6.7457200
61,NE65,55.3149288,-1.7484073
62,NE7,55.0001093,-1.5797332
63,SG8,52.0643705,-0.0147945
